name,designed_by,developer,initial_release,OS,license,paradigm,typing_discipline,written_in
A Sharp (.NET),"Dr. Martin C. Carlisle, Lt Col Ricky Sward, Maj Jeff Humphries",AdaCore,2004,Cross-platform,GNU General Public License,,,
A+,Arthur Whitney,Morgan Stanley,1988,"MacOS, Linux",GNU General Public License,Array,"Dynamic, strong",
ABAP,SAP SE,,1983,Cross-platform,,"Object-oriented, structured, imperative","Static, strong, safe, nominative",
ABC,"Leo Geurts, Lambert Meertens, Steven Pemberton",Centrum Wiskunde & Informatica,1987,"Unix-like, Windows, MacOS, and Atari TOS",,"multi-paradigm: imperative, procedural, structured","strong, polymorphic",
ActionScript,Gary Grossman,Macromedia,1998,,,"Multi-paradigm: object-oriented (prototype-based), functional, imperative, scripting","strong, static",
Ada,"MIL-STD-1815, Ada 83: Jean Ichbiah, Ada 95: Tucker Taft, Ada 2005: Tucker Taft, Ada 2012: Tucker Taft",,1980,Multi- or cross-platform,,"Multi-paradigm: structured, imperative, object-oriented, concurrent, array, distributed, generic, procedural, meta","static, strong, safe, nominative",
AdvPL,TOTVS,,,,,,,
Agda,"Ulf Norell, Catarina Coquand (1.0) ", Catarina Coquand (1.0),2007,Cross-platform,BSD-like,Functional,"strong, static, dependent, nominal, manifest, inferred",
AIMMS,Johannes J. Bisschop  Marcel Roelofs,AIMMS B.V.,,,,,,
Aldor,"Richard Dimick Jenks, Barry Trager, Stephen Watt, James Davenport, Robert Sutor, Scott Morrison",Thomas J. Watson Research Center,1990,"Linux, Solaris, Windows","Aldor Public 2.0, Apache 2.0","Multi-paradigm: object-oriented, functional, imperative, dependent typed, logic",,
Alef,Phil Winterbottom,,1992,Plan 9,,"compiled, concurrent, structured","Static, strong",
ALGOL 58,"Friedrich L. Bauer, Hermann Bottenbruch, Heinz Rutishauser, Klaus Samelson, John Backus, Charles Katz, Alan Perlis, Joseph Henry Wegstein",,1958,,,"procedural, imperative, structured","Static, strong",
ALGOL 60,"Backus, Bauer, Green, Katz, McCarthy, Naur, Perlis, Rutishauser, Samelson, van Wijngaarden, Vauquois, Wegstein, Woodger",,1960,,,"procedural, imperative, structured","Static, strong",
ALGOL 68,"A. van Wijngaarden, B. J. Mailloux, J. E. L. Peck and C. H. A. Koster, et al.",,1968,,,"Multi-paradigm: concurrent, imperative","static, strong, safe, structural",
ALGOL W,"Niklaus Wirth, Tony Hoare",,1966,Linux,,"Multi-paradigm: procedural, imperative, structured","Static, strong",
Alice,Saarland University,,2000,Cross-platform,MIT,"Multi-paradigm: imperative, functional, distributed, concurrent","strong, static, inferred",
Alma-0,"Krzysztof Apt, Marc Bezem, Jacob Brunekree, Vincent Partington, Andrea Schaerf",Centrum Wiskunde & Informatica,1997,,,"multi-paradigm: constraint, imperative, logic",static,
